line	type	notes
1704	verse	GEN 4:4: Verse should read: And Abel also brought some of the firstborn of his flock{s} and some of their fat. And Yahweh looked favorably on Abel and his offering.
1715	glQuote	"Gen 4:4: GL Quote not found: ""And Yahweh looked {favorably} on"" not in ""And Abel also brought some of the firstborn of his flock{s} and some of their fat. And Yahweh looked favorably on Abel and his offering."""
1722	verse	GEN 4:5: Verse should read: But he did not look favorably on Cain and his offering. So Cain burned with intense anger, and his face fell.
1727	glQuote	"Gen 4:5: GL Quote not found: ""did not look {favorably} on Cain"" not in ""But he did not look favorably on Cain and his offering. So Cain burned with intense anger, and his face fell."""
1745	glQuote	"Gen 4:6: GL Quote not found: ""”Why are you burning with anger? And why is your face fallen?"" not in ""Then Yahweh said to Cain, “Why are you burning with anger? And why is your face fallen?"""
2081	verse	"GEN 4:23: Verse should read: And Lamech said to his wives, 

 “Adah and Zillah, listen to my voice. Wives of Lamech, hear my words: 

 For I killed a man for my wound, even a young man for my bruise."
2086	glQuote	"Gen 4:23: GL Quote not found: ""to his wives, “Adah and Zillah,"" not in ""And Lamech said to his wives, 

 “Adah and Zillah, listen to my voice. Wives of Lamech, hear my words: 

 For I killed a man for my wound, even a young man for my bruise."""
2143	verse	"GEN 4:26: Verse should read: And to Seth also a son was born, and he called his name Enosh. 
 Then {people} began to call on the name of Yahweh."
2183	verse	GEN 5:2: Verse should read: He created them male and female, and he blessed them and called their name “mankind” on the day they were created.
2194	glQuote	"Gen 5:2: GL Quote not found: ""“man{kind}”"" not in ""He created them male and female, and he blessed them and called their name “mankind” on the day they were created."""
2277	verse	GEN 5:10: Verse should read: Then after he fathered Kenan, Enosh lived 807 years, and he fathered {other} sons and daughters.
2282	glQuote	"Gen 5:10: GL Quote not found: ""815 years,"" not in ""Then after he fathered Kenan, Enosh lived 807 years, and he fathered {other} sons and daughters."""
2821	verse	GEN 6:16: Verse should read: Make a window for the ark and finish it to within one cubit from the top. And put the door of the ark in its side. Make a lower, a second, and a third deck.
2829	glQuote	"Gen 6:16: GL Quote not found: ""Make a lower, a second, and a third {deck}."" not in ""Make a window for the ark and finish it to within one cubit from the top. And put the door of the ark in its side. Make a lower, a second, and a third deck."""
3008	verse	GEN 7:4: Verse should read: because in seven more days I will cause it to rain on the earth {for} forty days and forty nights, and I will wipe away every living thing that I have made off the surface of the ground.”
3315	verse	"GEN 7:23: Verse should read: So he wiped away every living thing that {was} on the surface of the ground, including mankind and livestock and crawling creatures and also the birds of the sky. So they were wiped off the earth, and only Noah was left and those who {were} with him in the ark. 
God Ends The Flood"
3344	glQuote	"Gen 7:23: GL Quote not found: ""{those} who {were} with him in the ark."" not in ""So he wiped away every living thing that {was} on the surface of the ground, including mankind and livestock and crawling creatures and also the birds of the sky. So they were wiped off the earth, and only Noah was left and those who {were} with him in the ark. 
God Ends The Flood"""
3366	verse	GEN 8:1: Verse should read: But God remembered Noah and all the living thing{s} and all the livestock that {were} with him in the ark, and God caused a wind to pass over the earth, and the waters subsided.
3374	glQuote	"Gen 8:1: GL Quote not found: ""and all the living creature{s} and"" not in ""But God remembered Noah and all the living thing{s} and all the livestock that {were} with him in the ark, and God caused a wind to pass over the earth, and the waters subsided."""
3601	verse	GEN 8:13: Verse should read: So it happened in the six hundred and first year, in the first {month}, on the first of the month, the waters were drying up from the earth. Then Noah removed the covering of the ark and looked, and behold, the surface of the ground was drying.
3609	glQuote	"Gen 8:13: GL Quote not found: ""in the first {month}, on the first day of the month,"" not in ""So it happened in the six hundred and first year, in the first {month}, on the first of the month, the waters were drying up from the earth. Then Noah removed the covering of the ark and looked, and behold, the surface of the ground was drying."""
3922	verse	"GEN 9:6: Verse should read: The one shedding the blood of a man, by mankind his blood must be shed, 

 because in the image of God he made mankind."
3972	verse	GEN 9:9: Verse should read: “And I, behold I am establishing my covenant with you and with your offspring after you,
3974	glQuote	"Gen 9:9: GL Quote not found: ""“And I, behold,"" not in ""“And I, behold I am establishing my covenant with you and with your offspring after you,"""
4051	verse	GEN 9:13: Verse should read: I have set my rainbow in the clouds, and it will be the sign of the covenant between me and the earth.
4270	verse	"GEN 9:25: Verse should read: and he said, 

 “Cursed be Canaan! 

 He will be a slave of slaves for his brothers.”"
4291	verse	"GEN 9:26: Verse should read: Then he said, 

 “Praised be Yahweh, the God of Shem! 

 And may Canaan be a slave for him."
4309	verse	"GEN 9:27: Verse should read: May God enlarge Japheth, 

 and may he live in the tents of Shem. 

 And may Canaan be a slave for him.”"
4351	glQuote	"Gen 10:0: GL Quote not found: ""1 Chronicles 1:4-23"" not in ""So all the days of Noah were 950 years, and he died."""
4524	verse	GEN 10:13: Verse should read: And Mizraim fathered the Ludim and the Anamim and the Lehabim and the Naphtuhim
4540	verse	GEN 10:15: Verse should read: And Canaan fathered Sidon his firstborn, then Heth
4548	glQuote	"Gen 10:15: GL Quote not found: ""then Heth,"" not in ""And Canaan fathered Sidon his firstborn, then Heth"""
4885	verse	GEN 11:6: Verse should read: And Yahweh said, “Behold, {they are} one people, and they all have one language. So this {is} what they have begun to do, and now everything that they plan to do will not be withheld from them.
4908	glQuote	"Gen 11:6: GL Quote not found: ""everything that they plan to do will not be impossible for them."" not in ""And Yahweh said, “Behold, {they are} one people, and they all have one language. So this {is} what they have begun to do, and now everything that they plan to do will not be withheld from them."""
4983	verse	"GEN 11:10: Verse should read: These {are} the generations of Shem: 
 Shem {was} the son of 100 years, then he fathered Arpachshad two years after the flood."
5136	verse	GEN 11:23: Verse should read: Then after he fathered Nahor, Serug lived 200 years, and he fathered {other} sons and daughters.
5151	verse	GEN 11:24: Verse should read: And Nahor lived 29 years, then he fathered Terah.
5160	verse	GEN 11:25: Verse should read: Then after he fathered Terah, Nahor lived 119 years, and he fathered {other} sons and daughters.
5175	verse	"GEN 11:26: Verse should read: And Terah lived 70 years, then he fathered Abram, Nahor, and Haran. 
Terah’s Children, Including Abram"
5186	verse	GEN 11:27: Verse should read: Now these {are} the generations of Terah: Terah fathered Abram, Nahor, and Haran; and Haran fathered Lot.
5198	verse	GEN 11:28: Verse should read: Later Haran died in the presence of Terah his father, in the land of his birth, in Ur of the Kasdim.
5210	verse	GEN 11:29: Verse should read: And Abram and Nahor took wives for themselves. The name of Abram’s wife {was} Sarai, and the name of Nahor’s wife {was} Milcah, the daughter of Haran, the father of Milcah and the father of Iscah.
5228	verse	GEN 11:30: Verse should read: But Sarai was barren; she did not have a child.
5238	verse	GEN 11:31: Verse should read: Then Terah took Abram his son and Lot, Haran’s son, his son’s son, and Sarai his daughter-in-law, the wife of his son Abram, and they went out together from Ur of the Kasdim to go to the land of Canaan. But they came to Haran, and they settled there.
5327	verse	GEN 12:2: Verse should read: And I will make you into a great nation, and I will bless you, and I will make your name great, and you must be a blessing.
5341	glQuote	"Gen 12:2: GL Quote not found: ""and you must be a blessing.”"" not in ""And I will make you into a great nation, and I will bless you, and I will make your name great, and you must be a blessing."""
5345	verse	GEN 12:3: Verse should read: And I will bless those who bless you, but whoever curses you I will curse. And in you all the families of the earth will be blessed.”
5386	verse	GEN 12:5: Verse should read: And Abram took Sarai his wife and Lot the son of his brother, and all their possessions that they had accumulated and the people whom they had acquired in Haran, and they set out to go to the land of Canaan. Then they came to the land of Canaan.
5413	verse	GEN 12:6: Verse should read: Then Abram passed through the land as far as the place of Shechem, to the terebinth tree of Moreh. And the Canaanites {were} in the land at that time.
5518	verse	GEN 12:10: Verse should read: Then there was a famine in the land, so Abram went down to Egypt to sojourn there because the famine {was} heavy in the land.
5538	glQuote	"Gen 12:10: GL Quote not found: ""to sojourn there,"" not in ""Then there was a famine in the land, so Abram went down to Egypt to sojourn there because the famine {was} heavy in the land."""
5548	verse	GEN 12:11: Verse should read: And it happened that as he was about to enter Egypt, then he said to Sarai his wife, “Behold please, I know that you {are} a woman beautiful in appearance.
5690	verse	GEN 12:19: Verse should read: Why did you say, ‘She {is} my sister,’ so that I took her to me as a wife? Now then, behold your wife. Take {her} and go!”
5733	file	Chapter number is not increasing as expected: moving from 12 to 22
5865	verse	GEN 22:7: Verse should read: and Isaac spoke to Abraham his father and said, “My father?” And he said, “Behold me, my son.” Then he said, “Behold the fire and the wood, but where {is} the lamb for the burnt offering?”
5974	verse	GEN 22:12: Verse should read: Then he said, “Do not reach out your hand against the boy! And {do} not do anything to him, because now I know that you fear God, since you have not withheld your son, your only {son}, from me.”
5985	glQuote	"Gen 22:12: GL Quote not found: ""And do not do anything to him,"" not in ""Then he said, “Do not reach out your hand against the boy! And {do} not do anything to him, because now I know that you fear God, since you have not withheld your son, your only {son}, from me.”"""
5994	glQuote	"Gen 22:12: GL Quote not found: ""since you have not withheld your son, your only son, from me.”"" not in ""Then he said, “Do not reach out your hand against the boy! And {do} not do anything to him, because now I know that you fear God, since you have not withheld your son, your only {son}, from me.”"""
6023	verse	GEN 22:14: Verse should read: So Abraham called the name of that place “Yahweh-Yireh,” as it is said {to} this day, “On the mountain of Yahweh it will be seen.”
6045	verse	GEN 22:15: Verse should read: Then the angel of Yahweh called to Abraham a second {time} from heaven
6050	glQuote	"Gen 22:15: GL Quote not found: ""called to Abraham a second time from heaven"" not in ""Then the angel of Yahweh called to Abraham a second {time} from heaven"""
6054	verse	GEN 22:16: Verse should read: and said, “I swear by myself, a declaration of Yahweh, that it is because you have done this thing and have not withheld your son, your only {son},
6068	glQuote	"Gen 22:16: GL Quote not found: ""your only son,"" not in ""and said, “I swear by myself, a declaration of Yahweh, that it is because you have done this thing and have not withheld your son, your only {son},"""
6072	verse	GEN 22:17: Verse should read: that I will greatly bless you, and I will greatly multiply your offspring as the stars of the heavens and as the sand that {is} on the shore of the sea, and your offspring will possess the gates of their enemies.
6089	glQuote	"Gen 22:17: GL Quote not found: ""will possess the gate{s} of their enemies."" not in ""that I will greatly bless you, and I will greatly multiply your offspring as the stars of the heavens and as the sand that {is} on the shore of the sea, and your offspring will possess the gates of their enemies."""
6186	verse	GEN 23:2: Verse should read: Then Sarah died in Kiriath Arba, that {is}, Hebron, in the land of Canaan, and Abraham went to mourn for Sarah and to weep for her.
6194	glQuote	"Gen 23:2: GL Quote not found: ""that is, Hebron,"" not in ""Then Sarah died in Kiriath Arba, that {is}, Hebron, in the land of Canaan, and Abraham went to mourn for Sarah and to weep for her."""
6766	verse	GEN 24:13: Verse should read: Behold, I am standing by {this} spring of water, and the daughters of the people of the city are coming out to draw water.
6771	glQuote	"Gen 24:13: GL Quote not found: ""this spring of water,"" not in ""Behold, I am standing by {this} spring of water, and the daughters of the people of the city are coming out to draw water."""
6781	verse	GEN 24:14: Verse should read: And let it be {that} the young woman whom I say to her, ‘Please let down your jar so that I may drink,’ and she says, ‘Drink and I will also water your camels,’ {let} her {be the one} you have appointed for your servant, for Isaac. And by her I will know that you have shown kindness toward my master.”
6783	glQuote	"Gen 24:14: GL Quote not found: ""And let it be that"" not in ""And let it be {that} the young woman whom I say to her, ‘Please let down your jar so that I may drink,’ and she says, ‘Drink and I will also water your camels,’ {let} her {be the one} you have appointed for your servant, for Isaac. And by her I will know that you have shown kindness toward my master.”"""
6801	glQuote	"Gen 24:14: GL Quote not found: ""let her be the one you have appointed"" not in ""And let it be {that} the young woman whom I say to her, ‘Please let down your jar so that I may drink,’ and she says, ‘Drink and I will also water your camels,’ {let} her {be the one} you have appointed for your servant, for Isaac. And by her I will know that you have shown kindness toward my master.”"""
7052	verse	GEN 24:30: Verse should read: And it was when he had seen the nose ring, and the bracelets on the arms of his sister, and when he had heard the words of Rebekah his sister, saying, ‘This {is} what the man said to me,’ then he went to the man, and behold, he was standing by the camels at the spring.
7060	glQuote	"Gen 24:30: GL Quote not found: ""and when he had heard the words of Rebekah his sister, saying, “This {is} what the man said to me,”"" not in ""And it was when he had seen the nose ring, and the bracelets on the arms of his sister, and when he had heard the words of Rebekah his sister, saying, ‘This {is} what the man said to me,’ then he went to the man, and behold, he was standing by the camels at the spring."""
7308	verse	GEN 24:43: Verse should read: Behold, I am standing by {this} spring of water. And let it be {that} the young woman who comes out to draw water and I say to her, “Please give me a little water to drink from your jar,”
7588	verse	"GEN 24:60: Verse should read: And they blessed Rebekah and said to her,  

 “Our sister, may you become thousands of myriads,  

 and may your offspring possess the gates of {those} hating them!”"
7727	glQuote	"Gen 25:0: GL Quote not found: ""1 Chronicles 1:32-33"" not in ""Then Isaac brought her into the tent of Sarah his mother, and he took Rebekah, and she became a wife to him. And Isaac loved her and he was comforted after his mother."""
7792	verse	GEN 25:7: Verse should read: And these {are} the days of the years of the life of Abraham that he lived: 175 years.
7794	glQuote	"Gen 25:7: GL Quote not found: ""And these are the days of the years of the life of Abraham that he lived: 175 years."" not in ""And these {are} the days of the years of the life of Abraham that he lived: 175 years."""
8014	verse	"GEN 25:23: Verse should read: And Yahweh said to her,  

 “Two nations {are} inside your womb, and two peoples will be divided from inside your womb.  

 And one people will be stronger than the other people, and the older will serve the younger.”"
8208	verse	GEN 26:1: Verse should read: Then there was a famine in the land, besides the earlier famine that was in the days of Abraham. So Isaac went to Abimelech the king of the Philistines, to Gerar.
8227	glQuote	"Gen 26:1: GL Quote not found: ""went to Abimelech, the king of the Philistines,"" not in ""Then there was a famine in the land, besides the earlier famine that was in the days of Abraham. So Isaac went to Abimelech the king of the Philistines, to Gerar."""
8560	verse	GEN 26:22: Verse should read: Then he moved from there and he dug another well, and they did not quarrel over it, so he called its name Rehoboth and he said, “Because now Yahweh has made space for us and we will be fruitful in the land.”
8577	glQuote	"Gen 26:22: GL Quote not found: ""Rehoboth,"" not in ""Then he moved from there and he dug another well, and they did not quarrel over it, so he called its name Rehoboth and he said, “Because now Yahweh has made space for us and we will be fruitful in the land.”"""
9175	verse	"GEN 27:27: Verse should read: So he went close and kissed him. And he smelled the smell of his clothes, so he blessed him and said, 

 “See, the smell of my son {is} like the smell of a field that Yahweh has blessed!"
9202	verse	"GEN 27:28: Verse should read: And may God give to you from the dew of the heavens 

 and from the fatness of the earth,  

 and an abundance of grain and wine."
9207	glQuote	"Gen 27:28: GL Quote not found: ""from the dew of the heavens and from the fatness of the earth, and"" not in ""And may God give to you from the dew of the heavens 

 and from the fatness of the earth,  

 and an abundance of grain and wine."""
9214	verse	"GEN 27:29: Verse should read: May peoples serve you, and may nations bow down to you. 

 Be master over your brothers, 

 and may the sons of your mother bow down to you. 

 {May} those {who} curse you be cursed, 

 and {may} those {who} bless you be blessed.” 
Esau Gets ""Blessed” Too By Isaac"
9231	glQuote	"Gen 27:29: GL Quote not found: ""{May} those {who} curse you be cursed, and {may} those {who} bless you be blessed.”"" not in ""May peoples serve you, and may nations bow down to you. 

 Be master over your brothers, 

 and may the sons of your mother bow down to you. 

 {May} those {who} curse you be cursed, 

 and {may} those {who} bless you be blessed.” 
Esau Gets ""Blessed” Too By Isaac"""
9333	verse	"GEN 27:36: Verse should read: Then he said, “Is it because his name is called Jacob that he has defrauded me these two times? He took my birthright, and behold now he has taken my blessing!” 
 Then he said, “Have you not reserved a blessing for me?”"
9398	verse	"GEN 27:39: Verse should read: Then Isaac his father responded and said to him, 

 “Behold, your dwelling will be away from the fatness of the earth 

 and away from the dew of the heavens from above."
9406	glQuote	"Gen 27:39: GL Quote not found: ""away from the fatness of the earth and away from the dew of the heavens from above."" not in ""Then Isaac his father responded and said to him, 

 “Behold, your dwelling will be away from the fatness of the earth 

 and away from the dew of the heavens from above."""
9410	verse	"GEN 27:40: Verse should read: And you will live by your sword, and you will serve your brother. 

 But it will happen when you become restless, then you will break his yoke off of your neck.” 
Jacob Flees From Esau"
10106	verse	"GEN 29:14: Verse should read: and Laban said to him, “You {are} indeed my bone and my flesh!” 
Jacob Works For Laban To Marry Rachel And Leah
 Then he stayed with him a month of days."
11040	verse	GEN 30:38: Verse should read: Then he put the branches that he had peeled in the troughs, in the water troughs where the flocks came to drink, in front of the flocks. And they were in heat when they came to drink,
11045	glQuote	"Gen 30:38: GL Quote not found: ""in the water troughs where the flock{s} came to drink,"" not in ""Then he put the branches that he had peeled in the troughs, in the water troughs where the flocks came to drink, in front of the flocks. And they were in heat when they came to drink,"""
11048	glQuote	"Gen 30:38: GL Quote not found: ""in front of the flock{s}."" not in ""Then he put the branches that he had peeled in the troughs, in the water troughs where the flocks came to drink, in front of the flocks. And they were in heat when they came to drink,"""
11055	verse	GEN 30:39: Verse should read: and the flocks would mate by the branches, and the flocks would bear streaked, speckled and spotted {young}.
11057	glQuote	"Gen 30:39: GL Quote not found: ""and the flock{s} would mate by the branches,"" not in ""and the flocks would mate by the branches, and the flocks would bear streaked, speckled and spotted {young}."""
11060	glQuote	"Gen 30:39: GL Quote not found: ""and the flock{s} would bear streaked, speckled and spotted {young}."" not in ""and the flocks would mate by the branches, and the flocks would bear streaked, speckled and spotted {young}."""
11148	verse	GEN 31:1: Verse should read: Then he heard the words of the sons of Laban {who} were saying, “Jacob has taken everything that {belonged} to our father, and from what {belonged} to our father he has gained all this wealth!”
11159	glQuote	"Gen 31:1: GL Quote not found: ""and he has gained all this wealth"" not in ""Then he heard the words of the sons of Laban {who} were saying, “Jacob has taken everything that {belonged} to our father, and from what {belonged} to our father he has gained all this wealth!”"""
11162	glQuote	"Gen 31:1: GL Quote not found: ""from what {belonged} to our father!”"" not in ""Then he heard the words of the sons of Laban {who} were saying, “Jacob has taken everything that {belonged} to our father, and from what {belonged} to our father he has gained all this wealth!”"""
11166	verse	GEN 31:2: Verse should read: And Jacob saw the face of Laban and behold, he was not with him as yesterday and three days ago.
11171	glQuote	"Gen 31:2: GL Quote not found: ""the face of Laban and behold he was not with him as"" not in ""And Jacob saw the face of Laban and behold, he was not with him as yesterday and three days ago."""
11245	verse	GEN 31:8: Verse should read: If he said like this: ‘The speckled {animals} will be your wages,’ then all the flock{s} bore speckled {young}. But if he said like this: ‘The streaked {ones} will be your wages,’ then all the flock{s} bore streaked {young}.
11250	glQuote	"Gen 31:8: GL Quote not found: ""‘The speckled animals will be your wages,’"" not in ""If he said like this: ‘The speckled {animals} will be your wages,’ then all the flock{s} bore speckled {young}. But if he said like this: ‘The streaked {ones} will be your wages,’ then all the flock{s} bore streaked {young}."""
11256	glQuote	"Gen 31:8: GL Quote not found: ""bore speckled young."" not in ""If he said like this: ‘The speckled {animals} will be your wages,’ then all the flock{s} bore speckled {young}. But if he said like this: ‘The streaked {ones} will be your wages,’ then all the flock{s} bore streaked {young}."""
11262	glQuote	"Gen 31:8: GL Quote not found: ""‘The streaked ones will be your wages,’"" not in ""If he said like this: ‘The speckled {animals} will be your wages,’ then all the flock{s} bore speckled {young}. But if he said like this: ‘The streaked {ones} will be your wages,’ then all the flock{s} bore streaked {young}."""
11268	glQuote	"Gen 31:8: GL Quote not found: ""bore streaked young."" not in ""If he said like this: ‘The speckled {animals} will be your wages,’ then all the flock{s} bore speckled {young}. But if he said like this: ‘The streaked {ones} will be your wages,’ then all the flock{s} bore streaked {young}."""
11573	verse	GEN 31:27: Verse should read: For what {reason} did you secretly flee and deceive me, and not tell me, so that I could have sent you with joy and with songs, with tambourine{s} and with lyre{s}?
11683	verse	GEN 31:34: Verse should read: Now Rachel had taken the idols and put them inside the camel's saddle and was sitting on them. And Laban felt throughout the entire tent, but he did not find {them}.
11685	glQuote	"Gen 31:34: GL Quote not found: ""Now Rachel had taken the idols and put them inside the camel’s saddle"" not in ""Now Rachel had taken the idols and put them inside the camel's saddle and was sitting on them. And Laban felt throughout the entire tent, but he did not find {them}."""
11751	verse	GEN 31:38: Verse should read: “These twenty years I {have been} with you! Your ewes and your she-goats did not miscarry, and I have not eaten rams from your flocks.
12030	glQuote	"Gen 31:55: GL Quote not found: ""Although verse 55 is the last verse of chapter 31 in most modern Bibles, it is the first verse of chapter 32 in the Hebrew text. We suggest that you follow the verse numbering in the Bibles in your national language or in other well-known languages in your area."" not in ""Then in the morning Laban got up early and kissed his grandchildren and his daughters, and he blessed them. Then Laban left and returned to his place."""
12266	verse	GEN 32:17: Verse should read: And he commanded the first {one}, saying, “When Esau my brother meets you and asks you, saying, ‘Whom do you {belong} to, and where are you going? And whom do these {animals} belong to {that are} before you?’
12277	glQuote	"Gen 32:17: GL Quote not found: ""And whom do these {animals} {belong} to {that are} before you?’"" not in ""And he commanded the first {one}, saying, “When Esau my brother meets you and asks you, saying, ‘Whom do you {belong} to, and where are you going? And whom do these {animals} belong to {that are} before you?’"""
12281	verse	GEN 32:18: Verse should read: then you say, ‘{They belong} to your servant, to Jacob. They {are} a gift sent to my lord, to Esau. And behold, he {is} also behind us.’ ”
12384	verse	GEN 32:25: Verse should read: And he saw that he was not prevailing over him, so he touched {him} on the socket of his hip so that the socket of Jacob’s hip was dislocated as he wrestled with him.
12389	glQuote	"Gen 32:25: GL Quote not found: ""he touched {him} on the socket of his hip,"" not in ""And he saw that he was not prevailing over him, so he touched {him} on the socket of his hip so that the socket of Jacob’s hip was dislocated as he wrestled with him."""
13108	verse	GEN 34:21: Verse should read: “These men {are} peaceful with us, so let them settle in the land and let them trade in it. And behold, the land {is} broad of hands before them. We can take their daughters for ourselves as wives, and we can give our daughters to them.
13216	verse	GEN 34:29: Verse should read: And all their wealth and all their little ones and their women they took captive, and they also plundered everything that {was} in the houses.
13218	glQuote	"Gen 34:29: GL Quote not found: ""And all their wealth and all their little ones and their women they took captive, and they also plundered everything that was in the houses."" not in ""And all their wealth and all their little ones and their women they took captive, and they also plundered everything that {was} in the houses."""
13223	verse	GEN 34:30: Verse should read: Then Jacob said to Simeon and to Levi, “You have brought trouble on me by making me stink among {those} who live in the land, among the Canaanites and among the Perizzites! And I am few of number, and if they gather together against me and attack me, then I will be destroyed, I and my house!”
13308	verse	GEN 35:3: Verse should read: Then let us get up and go up to Bethel, and there I will make an altar to God, who answered me in the day of my distress. And he has been with me in the way that I have gone.”
13612	verse	"GEN 35:22: Verse should read: And it happened while Israel was living in that land, then Reuben went and lay with Bilhah, the concubine of his father, and Israel heard. 
 Now the sons of Jacob were twelve."
13723	glQuote	"Gen 36:0: GL Quote not found: ""1 Chronicles 1:34-54"" not in ""Then Isaac exhaled and died, and he was gathered to his people, old and full of days. And Esau and Jacob, his sons, buried him."""
13851	verse	GEN 36:10: Verse should read: These are the names of the sons of Esau: Eliphaz, the son of Esau’s wife Adah, and Reuel, the son of Esau’s wife Basemath.
13853	glQuote	"Gen 36:10: GL Quote not found: ""These {are} the names of the sons of Esau:"" not in ""These are the names of the sons of Esau: Eliphaz, the son of Esau’s wife Adah, and Reuel, the son of Esau’s wife Basemath."""
14096	glQuote	"Gen 36:30: GL Quote not found: ""1 Chronicles 1:43-54"" not in ""Chief Dishon, Chief Ezer, Chief Dishan. Those {were} the chiefs of the Horites, according to their clans in the land of Seir. 
The Kings And Chiefs Of Edom"""
14530	verse	"GEN 37:17: Verse should read: Then the man said, “They set out from here. For I heard them say, ‘Let us go to Dothan.’ ” 
 Then Joseph went after his brothers and found them at Dothan."
15022	verse	GEN 38:12: Verse should read: Then the days were many, and Shua's daughter, the wife of Judah, died. Then Judah was comforted, and he went up to Timnah, to {the men} who were shearing his sheep, he and his friend Hirah the Adullamite.
15027	glQuote	"Gen 38:12: GL Quote not found: ""Shua’s daughter, the wife of Judah, died."" not in ""Then the days were many, and Shua's daughter, the wife of Judah, died. Then Judah was comforted, and he went up to Timnah, to {the men} who were shearing his sheep, he and his friend Hirah the Adullamite."""
15364	verse	GEN 38:30: Verse should read: And afterwards, his brother, who {had} the scarlet thread on his hand, came out, and he called his name Zerah.
15452	verse	"GEN 39:6: Verse should read: And he left all that {belonged} to him in the hand of Joseph, and he did not think to himself {about} anything except for the bread that he ate. 
 Now Joseph was handsome in form and handsome in appearance."
